ptp4l[6535.452]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[6535.452]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[6535.453]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[6535.507]: port 1 (eth0): new foreign master 0242ac.fffe.102500-1
ptp4l[6539.507]: selected best master clock 0242ac.fffe.102500
ptp4l[6539.508]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[6758.530]: master offset         24 s2 freq   -8285 path delay     -2825
ptp4l[6759.530]: master offset        325 s2 freq   -8255 path delay     -2825
ptp4l[6760.530]: master offset        225 s2 freq   -8265 path delay     -2825
ptp4l[6761.530]: master offset         25 s2 freq   -8285 path delay     -2825
ptp4l[6762.530]: master offset       -100 s2 freq   -8297 path delay     -2800
ptp4l[6763.530]: master offset        500 s2 freq   -8237 path delay     -2800
ptp4l[6764.531]: master offset       -425 s2 freq   -8330 path delay     -2875
ptp4l[6765.531]: master offset      -5725 s2 freq   -8865 path delay     -2875
ptp4l[6766.531]: master offset      -4125 s2 freq   -8710 path delay     -2875
ptp4l[6767.531]: master offset        775 s2 freq   -8219 path delay     -2875
ptp4l[6768.531]: master offset        575 s2 freq   -8238 path delay     -2875
ptp4l[6769.531]: master offset       1875 s2 freq   -8106 path delay     -2875
ptp4l[6770.532]: master offset        675 s2 freq   -8226 path delay     -2875
ptp4l[6771.532]: master offset       1775 s2 freq   -8114 path delay     -2875
ptp4l[6772.532]: master offset        475 s2 freq   -8243 path delay     -2775
ptp4l[6773.532]: master offset       -400 s2 freq   -8331 path delay     -2600
ptp4l[6774.532]: master offset        450 s2 freq   -8246 path delay     -2550
ptp4l[6775.532]: master offset       1050 s2 freq   -8185 path delay     -2550
ptp4l[6776.532]: master offset       -100 s2 freq   -8300 path delay     -2300
ptp4l[6777.532]: master offset       1200 s2 freq   -8169 path delay     -2300
ptp4l[6778.532]: master offset        -75 s2 freq   -8296 path delay     -2025
ptp4l[6779.532]: master offset        375 s2 freq   -8251 path delay     -1975
ptp4l[6780.532]: master offset         75 s2 freq   -8281 path delay     -1875
ptp4l[6781.532]: master offset         75 s2 freq   -8281 path delay     -1975
ptp4l[6782.533]: master offset          0 s2 freq   -8288 path delay     -2000
ptp4l[6783.533]: master offset        900 s2 freq   -8197 path delay     -2000
ptp4l[6784.533]: master offset       -625 s2 freq   -8351 path delay     -1975
ptp4l[6785.533]: master offset       -300 s2 freq   -8318 path delay     -2000
ptp4l[6786.533]: master offset       -175 s2 freq   -8306 path delay     -2025
ptp4l[6787.533]: master offset        925 s2 freq   -8195 path delay     -2025
